<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;20210311;000000;283.8600000;286.3800000;282.3000000;286.0000000;47203100
SBER;D;20210312;000000;286.3000000;287.4900000;282.8200000;284.9300000;51362640
SBER;D;20210315;000000;286.0700000;292.9200000;285.2800000;292.7400000;67756210
SBER;D;20210316;000000;293.0700000;293.8800000;288.6100000;292.3300000;53891160
SBER;D;20210317;000000;292.3800000;293.2500000;279.6000000;283.3500000;110247040
SBER;D;20210318;000000;284.0600000;285.7900000;278.2400000;279.2500000;74060790
SBER;D;20210319;000000;279.0000000;286.3100000;278.0300000;285.4700000;84214320
SBER;D;20210322;000000;285.0000000;291.2000000;283.0800000;288.6500000;62697960
SBER;D;20210323;000000;287.6000000;288.3000000;282.1100000;282.6000000;70668340
SBER;D;20210324;000000;283.3000000;288.0000000;282.2500000;285.7900000;46388650
SBER;D;20210325;000000;286.3300000;287.0300000;283.8500000;286.6600000;35114120
SBER;D;20210326;000000;288.6000000;292.7500000;288.3200000;291.2200000;55889260
SBER;D;20210329;000000;289.7200000;294.0900000;289.2600000;293.3000000;43631060
SBER;D;20210330;000000;294.6000000;295.7200000;291.5000000;293.2500000;38637210
SBER;D;20210331;000000;294.0000000;294.4200000;290.2600000;291.0200000;46972400
SBER;D;20210401;000000;292.0000000;294.7200000;288.4300000;290.2400000;51532880
SBER;D;20210402;000000;290.8100000;292.4000000;289.1400000;291.7000000;19262050
SBER;D;20210405;000000;290.8000000;291.4800000;287.0700000;288.7800000;35298970
SBER;D;20210406;000000;289.0000000;289.4300000;281.3700000;281.5000000;77497430
SBER;D;20210407;000000;281.6600000;284.2900000;278.5400000;283.9800000;74087530
SBER;D;20210408;000000;284.6200000;286.2000000;282.1700000;283.8900000;51161440
SBER;D;20210409;000000;283.4400000;283.7900000;280.0900000;281.0700000;40018040
SBER;D;20210412;000000;278.2100000;285.3500000;278.0000000;281.7500000;57020860
SBER;D;20210413;000000;282.9000000;288.2000000;281.1400000;287.9500000;67878750
SBER;D;20210414;000000;290.0000000;291.5800000;286.7200000;287.1800000;58993600
SBER;D;20210415;000000;281.5000000;285.1900000;280.8700000;283.7200000;87528200
SBER;D;20210416;000000;285.7000000;289.3000000;284.0800000;288.5000000;63355410
SBER;D;20210419;000000;287.9000000;289.2500000;286.0400000;287.7200000;51231790
SBER;D;20210420;000000;288.9000000;290.9200000;286.5900000;287.4200000;63069010
SBER;D;20210421;000000;288.0400000;290.2000000;287.0600000;289.2500000;49661560
SBER;D;20210422;000000;289.0400000;294.6700000;286.9300000;292.1800000;73621930
SBER;D;20210423;000000;293.1600000;294.2000000;290.7800000;293.1900000;42551750
SBER;D;20210426;000000;294.3000000;296.4800000;293.1000000;295.2700000;45676020
SBER;D;20210427;000000;295.7400000;300.2500000;295.6100000;298.5000000;62822260
SBER;D;20210428;000000;298.8400000;299.2600000;295.8900000;298.4900000;40549200
SBER;D;20210429;000000;301.0500000;301.8400000;294.7900000;297.1000000;56771630
SBER;D;20210430;000000;296.9200000;298.1000000;295.0300000;297.7300000;35662800
SBER;D;20210504;000000;298.7000000;304.2300000;298.2000000;303.7000000;60366580
SBER;D;20210505;000000;304.0100000;306.0300000;302.7100000;305.9900000;41550150
SBER;D;20210506;000000;306.2900000;314.9800000;306.2500000;314.7200000;62553900
SBER;D;20210507;000000;316.0100000;319.1600000;315.4800000;317.9400000;56349650
SBER;D;20210510;000000;318.2700000;320.1900000;314.3100000;320.1900000;59207110
SBER;D;20210511;000000;303.0500000;309.4800000;301.0000000;307.1600000;79006340
SBER;D;20210512;000000;307.4000000;309.2400000;302.0000000;302.0200000;56079760
SBER;D;20210513;000000;302.1500000;306.8600000;299.3300000;306.7400000;57632810
SBER;D;20210514;000000;308.2000000;308.2400000;302.3300000;304.1000000;26784400
SBER;D;20210517;000000;303.5000000;305.2400000;301.0100000;303.9400000;28344110
SBER;D;20210518;000000;305.0400000;306.6200000;303.3300000;305.7800000;35434660
SBER;D;20210519;000000;304.3800000;304.8800000;295.1000000;297.0000000;71633830
SBER;D;20210520;000000;297.9400000;298.3700000;293.0000000;296.7200000;58479500
SBER;D;20210521;000000;296.8200000;302.9800000;294.9000000;301.2300000;51370530
SBER;D;20210524;000000;302.0500000;304.7500000;299.5900000;300.7000000;30764260
SBER;D;20210525;000000;301.7800000;307.4000000;301.5700000;306.8000000;37526860
SBER;D;20210526;000000;307.8100000;309.5000000;305.3300000;307.0100000;35255410
SBER;D;20210527;000000;306.3900000;313.9000000;305.7200000;312.7200000;70727920
SBER;D;20210528;000000;313.3000000;314.0000000;309.0600000;309.5600000;35412970
SBER;D;20210531;000000;309.3000000;312.6000000;308.8200000;310.7900000;23651780
SBER;D;20210601;000000;312.6000000;314.1700000;310.0300000;311.6000000;37510420
SBER;D;20210602;000000;311.5900000;314.0000000;310.6100000;313.9800000;26981700
SBER;D;20210603;000000;314.8000000;315.7100000;309.8700000;312.4100000;34459100
SBER;D;20210604;000000;313.0000000;313.0000000;307.6000000;310.9400000;37077640
SBER;D;20210607;000000;310.0300000;316.0000000;308.5700000;315.5300000;40149880
SBER;D;20210608;000000;315.2600000;316.1800000;312.5000000;314.8300000;34909350
SBER;D;20210609;000000;315.0100000;315.9000000;312.9000000;314.7800000;25115980
SBER;D;20210610;000000;314.8000000;316.5800000;313.7600000;314.6200000;29201370
SBER;D;20210611;000000;314.8800000;315.0800000;312.5000000;313.0000000;21902100
SBER;D;20210614;000000;313.4800000;314.8700000;310.4000000;314.1200000;25494830
SBER;D;20210615;000000;314.1300000;315.6000000;312.4000000;312.5100000;29704890
SBER;D;20210616;000000;312.5000000;314.5400000;311.0300000;311.6100000;38224960
SBER;D;20210617;000000;311.0000000;315.4200000;310.4600000;313.9000000;44164540
SBER;D;20210618;000000;313.4400000;313.8200000;308.1300000;309.3000000;62327060
SBER;D;20210621;000000;308.4500000;310.4000000;306.5600000;310.4000000;36086020
SBER;D;20210622;000000;310.7900000;311.1700000;308.1300000;309.7300000;23511320
SBER;D;20210623;000000;310.4000000;312.0000000;308.6900000;309.7900000;24810790
SBER;D;20210624;000000;309.8200000;311.2000000;308.8400000;310.0000000;19708450
SBER;D;20210625;000000;310.4100000;312.5000000;309.8200000;311.8100000;22588790
SBER;D;20210628;000000;311.7600000;312.0600000;309.1300000;309.4800000;19409430
SBER;D;20210629;000000;308.7000000;309.2300000;303.6600000;306.1000000;33868700
SBER;D;20210630;000000;306.3500000;306.9100000;303.3400000;306.4500000;31492940
SBER;D;20210701;000000;306.1900000;307.3500000;305.0000000;305.7800000;19958090
SBER;D;20210702;000000;305.5900000;308.3700000;304.7100000;307.3900000;28893920
SBER;D;20210705;000000;307.8100000;308.1100000;304.8000000;307.0000000;16481560
SBER;D;20210706;000000;307.3200000;307.5900000;302.3700000;303.3400000;32667720
SBER;D;20210707;000000;303.5600000;306.2000000;302.8500000;304.0600000;22612920
SBER;D;20210708;000000;302.9900000;304.3000000;300.6200000;302.6300000;30696840
SBER;D;20210709;000000;302.7100000;304.1000000;301.2200000;303.5600000;20523480
SBER;D;20210712;000000;303.5600000;306.2700000;301.5200000;306.2300000;25280830
SBER;D;20210713;000000;306.8500000;307.2200000;302.1100000;303.0000000;21233230
SBER;D;20210714;000000;302.7000000;303.6900000;300.7400000;301.5000000;23920780
SBER;D;20210715;000000;301.1900000;303.5000000;299.7700000;301.7200000;21082200
SBER;D;20210716;000000;301.9200000;304.7800000;298.5700000;298.8500000;34532240
SBER;D;20210719;000000;298.0000000;298.3600000;290.0300000;291.4600000;41244150
SBER;D;20210720;000000;292.3400000;296.8000000;292.3000000;296.1000000;35564960
SBER;D;20210721;000000;296.0100000;296.9400000;293.5400000;294.8600000;17526680
SBER;D;20210722;000000;295.7700000;298.1700000;294.4300000;297.2700000;20319290
SBER;D;20210723;000000;297.5000000;298.6900000;295.0400000;296.3800000;14959920
SBER;D;20210726;000000;293.9900000;303.6800000;291.9800000;303.3400000;33887060
SBER;D;20210727;000000;302.6600000;304.5900000;299.3800000;299.7100000;38559430
SBER;D;20210728;000000;300.4800000;302.9800000;300.0000000;302.9000000;26896580
SBER;D;20210729;000000;304.1400000;305.2700000;303.0300000;303.1200000;27950010
SBER;D;20210730;000000;302.4200000;306.6700000;301.1200000;305.5900000;49522680
SBER;D;20210802;000000;306.3100000;308.6300000;306.0600000;306.5100000;31506510
SBER;D;20210803;000000;306.3100000;309.8900000;306.2500000;309.8900000;33788860
SBER;D;20210804;000000;310.2600000;312.0000000;309.2500000;311.1000000;30666580
SBER;D;20210805;000000;311.0200000;315.9100000;310.8200000;315.8200000;37290300
SBER;D;20210806;000000;316.1000000;320.0000000;315.3100000;319.1500000;54096400
SBER;D;20210809;000000;318.5600000;328.3000000;317.6200000;326.9100000;71958140
SBER;D;20210810;000000;328.0500000;331.2900000;326.9700000;330.1100000;41507840
SBER;D;20210811;000000;330.7000000;330.9800000;326.2100000;329.9000000;34418000
SBER;D;20210812;000000;330.0000000;330.6400000;327.3000000;328.5700000;20985080
SBER;D;20210813;000000;328.6000000;330.2700000;327.3100000;328.6800000;18758270
SBER;D;20210816;000000;327.5600000;330.5200000;327.1300000;329.3600000;23916510
SBER;D;20210817;000000;329.0000000;335.7000000;328.5500000;334.5000000;42463620
SBER;D;20210818;000000;336.0500000;338.9900000;333.2600000;334.9000000;36270350
SBER;D;20210819;000000;333.5000000;334.0000000;329.1000000;332.6900000;45936410
SBER;D;20210820;000000;332.2000000;333.2700000;325.1700000;325.6700000;36352850
SBER;D;20210823;000000;327.8500000;329.8100000;326.5500000;329.2200000;20539290
SBER;D;20210824;000000;330.3700000;331.2200000;323.3200000;324.8300000;35650540
SBER;D;20210825;000000;324.2900000;325.3200000;321.2600000;324.5700000;28071640
SBER;D;20210826;000000;324.0300000;325.5500000;320.5800000;322.5400000;27463480
SBER;D;20210827;000000;323.7400000;327.5000000;321.8000000;327.4100000;27792410
SBER;D;20210830;000000;328.4200000;329.3800000;326.5100000;328.2800000;20356090
SBER;D;20210831;000000;328.5400000;330.4800000;327.3000000;327.9400000;32440160
SBER;D;20210901;000000;328.8700000;334.6400000;328.0300000;334.5700000;30671130
SBER;D;20210902;000000;334.6700000;334.9100000;328.7700000;329.0000000;31562590
SBER;D;20210903;000000;329.4700000;330.5300000;326.6200000;329.7100000;29597400
SBER;D;20210906;000000;330.0000000;331.4500000;328.5000000;329.3700000;17467620
SBER;D;20210907;000000;329.8200000;330.7300000;324.6400000;325.9600000;24443360
SBER;D;20210908;000000;325.9600000;332.7400000;322.8400000;331.7000000;47818530
SBER;D;20210909;000000;330.4000000;330.4000000;325.6900000;326.0100000;29884250
SBER;D;20210910;000000;328.0100000;328.4300000;325.2100000;326.2500000;17390450
SBER;D;20210913;000000;327.0200000;328.1400000;324.0100000;327.4100000;24349520
SBER;D;20210914;000000;327.4500000;328.8400000;325.4800000;326.4800000;22491700
SBER;D;20210915;000000;326.4600000;334.6000000;326.4600000;333.5100000;43810600
SBER;D;20210916;000000;333.0400000;334.5000000;324.9100000;326.9900000;62479270
SBER;D;20210917;000000;326.9000000;331.7300000;325.7000000;329.5600000;54120880
SBER;D;20210920;000000;327.0100000;328.8500000;325.0000000;326.9200000;31671550
SBER;D;20210921;000000;328.4400000;329.4800000;322.3900000;323.2500000;47704160
SBER;D;20210922;000000;325.2800000;328.9000000;322.5000000;327.8000000;38085450
SBER;D;20210923;000000;328.9400000;329.4000000;325.1300000;327.0200000;27033650
SBER;D;20210924;000000;326.0800000;326.2300000;323.6200000;325.4400000;24552590
SBER;D;20210927;000000;326.3200000;332.4600000;326.0900000;331.6800000;34346920
SBER;D;20210928;000000;332.0600000;334.4800000;328.3200000;329.3000000;52511780
SBER;D;20210929;000000;329.0900000;330.4500000;327.1500000;328.4300000;27597990
SBER;D;20210930;000000;329.9800000;342.2000000;329.4500000;340.9900000;83549930
SBER;D;20211001;000000;339.2100000;339.9400000;336.0800000;338.4800000;37617680
SBER;D;20211004;000000;337.8100000;349.3100000;336.2200000;345.8500000;59987320
SBER;D;20211005;000000;346.7900000;365.0000000;344.9000000;363.2000000;86810410
SBER;D;20211006;000000;366.0000000;375.4800000;359.3500000;364.2800000;95588390
SBER;D;20211007;000000;367.6900000;374.0000000;365.8800000;368.9300000;49466740
SBER;D;20211008;000000;369.5000000;374.5500000;368.0000000;373.0100000;31010000
SBER;D;20211011;000000;375.0500000;388.1100000;375.0000000;387.6000000;66555950
SBER;D;20211012;000000;385.9000000;386.8600000;376.7200000;377.7900000;51365340
SBER;D;20211013;000000;378.7000000;380.9100000;370.8100000;378.8000000;54668150
SBER;D;20211014;000000;382.0200000;383.1300000;374.5700000;376.0900000;36290870
SBER;D;20211015;000000;377.5000000;378.4100000;370.4300000;371.8200000;37276570
SBER;D;20211018;000000;369.3500000;369.9100000;363.7500000;364.6000000;38112280
SBER;D;20211019;000000;365.6800000;373.4000000;361.5000000;373.1800000;40008020
SBER;D;20211020;000000;371.8300000;371.9700000;367.1000000;370.1600000;27515020
SBER;D;20211021;000000;368.2000000;371.1400000;363.2000000;364.6000000;24461840
SBER;D;20211022;000000;364.0600000;370.3900000;362.3700000;364.3700000;26322460
SBER;D;20211025;000000;366.1900000;371.7000000;361.6800000;369.9900000;35623260
SBER;D;20211026;000000;369.8900000;374.6300000;365.6600000;372.1600000;41746810
SBER;D;20211027;000000;371.0000000;374.0000000;366.5100000;371.3600000;36305740
SBER;D;20211028;000000;370.5000000;374.9200000;362.3200000;365.3600000;53785930
SBER;D;20211029;000000;364.3300000;364.3300000;352.6800000;356.1400000;53476690
SBER;D;20211101;000000;356.1400000;371.4700000;356.1400000;370.9600000;55120560
SBER;D;20211102;000000;370.9800000;374.0000000;367.2000000;370.7000000;37697650
SBER;D;20211103;000000;370.0000000;370.5000000;365.0300000;370.1300000;30833580
SBER;D;20211105;000000;366.9800000;367.5600000;358.5000000;360.2100000;39012570
SBER;D;20211108;000000;362.5900000;363.9700000;355.6000000;358.3900000;39658600
SBER;D;20211109;000000;358.4100000;364.5800000;355.6000000;357.4400000;41687090
SBER;D;20211110;000000;356.6800000;358.8000000;348.0000000;348.6500000;46528570
SBER;D;20211111;000000;350.1400000;357.8900000;347.2200000;356.2400000;42860130
SBER;D;20211112;000000;356.2400000;356.3700000;339.6800000;347.5900000;100664120
SBER;D;20211115;000000;348.6700000;352.8000000;342.7600000;344.3900000;59812240
SBER;D;20211116;000000;345.9100000;346.4700000;336.0100000;337.9100000;61959550
SBER;D;20211117;000000;338.0000000;343.5700000;336.6000000;339.8900000;49464380
SBER;D;20211118;000000;338.9000000;343.1200000;333.5000000;336.9300000;47108510
SBER;D;20211119;000000;339.3700000;339.9900000;325.7000000;327.5600000;66943180
SBER;D;20211122;000000;326.0300000;326.3900000;306.6700000;309.1500000;144324090
SBER;D;20211123;000000;306.2800000;327.0100000;300.1000000;326.8400000;144820750
SBER;D;20211124;000000;328.0000000;329.9700000;317.3500000;321.2200000;77871110
SBER;D;20211125;000000;322.3700000;322.9600000;316.1100000;317.2900000;44048010
SBER;D;20211126;000000;307.1300000;312.0000000;303.2200000;304.4200000;90384610
SBER;D;20211129;000000;311.1400000;322.1500000;309.4200000;316.5700000;82133140
SBER;D;20211130;000000;311.0000000;318.5800000;310.0900000;315.0000000;98128940
SBER;D;20211201;000000;321.3500000;329.4400000;319.5100000;324.4000000;69783520
SBER;D;20211202;000000;325.2100000;329.0000000;320.5400000;326.8000000;61404320
SBER;D;20211203;000000;327.6000000;328.9500000;318.4000000;320.6600000;43075790
